date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-06-26,TX,202407,22806.0,23005.0,22744.0,22872.0,125.0,0.55,113347,22876.0,22989.8,22817.5,22231.3,21322.94,20367.88,64.13888088575159,23538.693146685477,22231.3,20923.906853314522,479.7574364101638,462.04846630385356,17.708970106310232,306.159529259409,-777.0
2024-06-27,TX,202407,22614.0,22822.0,22555.0,22793.0,-83.0,-0.36,83796,22797.0,22872.8,22864.5,22284.85,21379.74,20417.11,62.24462257532265,23592.1489367395,22284.85,20977.551063260496,455.82297586040295,460.80336821516346,-4.980392354760511,306.9338485980226,-532.0
2024-06-28,TX,202407,22908.0,23117.0,22793.0,22983.0,186.0,0.82,103428,22980.0,22827.4,22911.7,22364.45,21435.7,20467.91,64.92747078584726,23637.78223865573,22364.45,21091.11776134427,447.0330369583353,458.0493019637978,-11.016265005462515,308.1528594124496,-737.0
2024-07-01,TX,202407,22960.0,23166.0,22938.0,22991.0,11.0,0.05,83651,22993.0,22876.4,22963.1,22449.75,21488.36,20517.87,65.04011486066868,23648.8084431128,22449.75,21250.6915568872,435.69011574493925,453.5774647200261,-17.887348975086866,302.42765516870315,-701.0
2024-07-02,TX,202407,22838.0,22993.0,22717.0,22831.0,-162.0,-0.7,104985,22835.0,22894.0,22967.6,22508.6,21554.06,20566.19,60.83199587137553,23660.25731014066,22508.6,21356.942689859337,409.07454937267903,444.6768816505567,-35.60233227787768,300.5399655137958,-178.0
2024-07-03,TX,202407,23073.0,23188.0,22981.0,23185.0,350.0,1.53,83985,23183.0,22956.6,22973.2,22601.85,21627.28,20616.79,66.06365814564933,23650.888469266152,22601.85,21552.811530733845,411.7993956693681,438.101384454319,-26.30198878495088,304.57282511995317,-1652.0
2024-07-04,TX,202407,23487.0,23626.0,23461.0,23624.0,441.0,1.9,88198,23621.0,23122.8,22997.8,22709.9,21706.22,20672.22,71.20093115910409,23711.57098390627,22709.9,21708.229016093734,444.26131917054227,439.3333713975636,4.927947772978655,314.3176233256708,-4250.0
2024-07-05,TX,202407,23659.0,23677.0,23526.0,23570.0,-51.0,-0.22,60596,23571.0,23240.2,23033.8,22794.65,21774.22,20728.72,69.80120062635002,23786.19289367617,22794.65,21803.107106323834,460.3239507549879,443.53148726904845,16.792463485939436,302.6520788024086,-3150.0
2024-07-08,TX,202407,23545.0,23994.0,23512.0,23913.0,342.0,1.45,107009,23909.0,23424.6,23150.5,22895.45,21854.78,20787.99,73.38083183832983,23911.078371994292,22895.45,21879.82162800571,495.02459999345956,453.8301098139307,41.194490179528884,315.46264460223654,-2782.0
2024-07-09,TX,202407,23945.0,24092.0,23624.0,23878.0,-31.0,-0.13,130797,23881.0,23634.0,23264.0,22999.45,21928.78,20845.93,72.437272308764,23969.212130627875,22999.45,22029.687869372126,513.7783895678331,465.8197657647112,47.958623803121895,326.35816998779103,-3182.0
